Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;Variable4;Valor4;PERIODO;VALOR
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2010M04;92,39
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2010M03;89,26
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2010M02;89,66
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2010M01;91,16
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2009M12;94,63
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2009M11;93,30
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2009M10;92,85
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2009M09;92,65
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2009M08;95,09
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2009M07;94,04
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2009M06;93,45
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2009M05;94,11
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2009M04;95,36
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2009M03;92,39
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2009M02;94,41
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2009M01;96,90
Tipo de dato;Índice;TIPO DE CATEGORIA;Total categorías;Total Nacional;Total Nacional;Concepto turístico;Índice de precios;2008M12;100,00
