comunidad_autonoma,periodo,duracion_media_viaje,gasto_medio_diario,gasto_medio_persona
Canarias,2018-03-01,8.58,139.0,1196.0
Canarias,2018-04-01,8.26,142.0,1174.0
Canarias,2018-05-01,8.46,142.0,1206.0
Canarias,2018-06-01,7.95,147.0,1166.0
Canarias,2018-07-01,8.73,156.0,1364.0
Canarias,2018-08-01,8.83,156.0,1379.0
Canarias,2018-09-01,8.85,143.0,1269.0
Canarias,2018-10-01,8.37,144.0,1210.0
Canarias,2018-11-01,8.28,152.0,1261.0
Canarias,2018-12-01,8.82,147.0,1298.0
Canarias,2019-01-01,8.72,145.0,1264.0
Canarias,2019-02-01,8.53,144.0,1226.0
Canarias,2019-03-01,9.12,143.0,1301.0
Canarias,2019-04-01,8.58,146.0,1254.0
Canarias,2019-05-01,7.93,152.0,1204.0
Canarias,2019-06-01,8.18,149.0,1221.0
Canarias,2019-07-01,8.91,162.0,1443.0
Canarias,2019-08-01,9.05,159.0,1436.0
Canarias,2019-09-01,8.58,150.0,1285.0
Canarias,2019-10-01,8.35,149.0,1248.0
Canarias,2019-11-01,8.05,157.0,1264.0
Canarias,2019-12-01,8.17,152.0,1241.0
Canarias,2020-01-01,8.47,152.0,1291.0
Canarias,2020-02-01,7.86,156.0,1222.0
Canarias,2020-03-01,8.9,149.0,1324.0
Canarias,2020-04-01,0.0,0.0,0.0
Canarias,2020-05-01,0.0,0.0,0.0
Canarias,2020-06-01,9.96,135.0,1346.0
Canarias,2020-07-01,9.39,136.0,1280.0
Canarias,2020-08-01,8.99,158.0,1416.0
Canarias,2020-09-01,9.19,144.0,1321.0
Canarias,2020-10-01,8.58,135.0,1154.0
Canarias,2020-11-01,8.58,144.0,1234.0
Canarias,2020-12-01,9.19,139.0,1276.0
Canarias,2021-01-01,11.41,135.0,1542.0
Canarias,2021-02-01,10.74,132.0,1418.0
Canarias,2021-03-01,11.47,127.0,1463.0
Canarias,2021-04-01,10.65,122.0,1300.0
Canarias,2021-05-01,9.96,139.0,1387.0
Canarias,2021-06-01,8.75,148.0,1296.0
Canarias,2021-07-01,9.15,166.0,1518.0
Canarias,2021-08-01,8.82,163.0,1437.0
Canarias,2021-09-01,8.79,157.0,1376.0
Canarias,2021-10-01,8.35,151.0,1261.0
Canarias,2021-11-01,8.83,152.0,1344.0
Canarias,2021-12-01,8.92,154.0,1378.0
Canarias,2022-01-01,9.97,149.0,1487.0
Canarias,2022-02-01,10.17,143.0,1452.0
Canarias,2022-03-01,9.59,156.0,1494.0
Canarias,2022-04-01,8.65,154.0,1334.0
Canarias,2022-05-01,8.89,156.0,1389.0
Canarias,2022-06-01,7.82,165.0,1292.0
Canarias,2022-07-01,8.54,183.0,1567.0
Canarias,2022-08-01,8.59,177.0,1519.0
Canarias,2022-09-01,8.12,170.0,1381.0
Canarias,2022-10-01,7.83,167.0,1311.0
Canarias,2022-11-01,8.46,167.0,1408.0
Canarias,2022-12-01,8.17,168.0,1375.0
Canarias,2023-01-01,8.66,164.0,1418.0
Canarias,2023-02-01,8.8,165.0,1455.0
Canarias,2023-03-01,9.14,162.0,1483.0
Canarias,2023-04-01,8.69,153.0,1334.0
